"key";"de";"en";"de_f";"it";"es"
"TMHE_0006_CHOICE1";"Täglich oder fast jeden Tag";"Every day or nearly every day";"Täglich oder fast jeden Tag";"Ogni giorno o quasi ogni giorno";"Cada día o casi cada día"
"TMHE_0006_CHOICE2";"Einmal oder zweimal pro Woche";"Once or twice per week";"Einmal oder zweimal pro Woche";"Una o due volte a settimana";"Una o dos veces por semana"
"TMHE_0006_CHOICE3";"Einmal oder zweimal pro Monat";"Once or twice per month";"Einmal oder zweimal pro Monat";"Una o due volte al mese";"Una o dos veces al mes"
"TMHE_0006_CHOICE4";"Selten oder nie";"Never or hardly ever";"Selten oder nie";"Mai o quasi mai";"Nunca o casi nunca"
"TMHE_0006_PROMPT";"Reden mit mir über ein Thema, das wir in der Schule gelernt haben";"Talk with me about a topic we've learned about in school";"Reden mit mir über ein Thema, das wir in der Schule gelernt haben";"Parlare con me di un argomento che abbiamo imparato a scuola";"Hablar conmigo de un tema que hemos aprendido en el colegio"
"TMHE_0007_CHOICE1";"Täglich oder fast jeden Tag";"Every day or nearly every day";"Täglich oder fast jeden Tag";"Ogni giorno o quasi ogni giorno";"Cada día o casi cada día"
"TMHE_0007_CHOICE2";"Einmal oder zweimal pro Woche";"Once or twice per week";"Einmal oder zweimal pro Woche";"Una o due volte a settimana";"Una o dos veces por semana"
"TMHE_0007_CHOICE3";"Einmal oder zweimal pro Monat";"Once or twice per month";"Einmal oder zweimal pro Monat";"Una o due volte al mese";"Una o dos veces al mes"
"TMHE_0007_CHOICE4";"Selten oder nie";"Never or hardly ever";"Selten oder nie";"Mai o quasi mai";"Nunca o casi nunca"
"TMHE_0007_PROMPT";"Reden über Probleme in der Schule";"Talk about school related problems";"Reden über Probleme in der Schule";"Parlare dei problemi relativi alla scuola";"Hablar de los problemas relacionados con la escuela"
"TMHE_0008_CHOICE1";"Täglich oder fast jeden Tag";"Every day or nearly every day";"Täglich oder fast jeden Tag";"Ogni giorno o quasi ogni giorno";"Cada día o casi cada día"
"TMHE_0008_CHOICE2";"Einmal oder zweimal pro Woche";"Once or twice per week";"Einmal oder zweimal pro Woche";"Una o due volte a settimana";"Una o dos veces por semana"
"TMHE_0008_CHOICE3";"Einmal oder zweimal pro Monat";"Once or twice per month";"Einmal oder zweimal pro Monat";"Una o due volte al mese";"Una o dos veces al mes"
"TMHE_0008_CHOICE4";"Selten oder nie";"Never or hardly ever";"Selten oder nie";"Mai o quasi mai";"Nunca o casi nunca"
"TMHE_0008_PROMPT";"Motivieren mich, Musik zu machen";"Encourage me to make music";"Motivieren mich, Musik zu machen";"Incoraggiarmi a fare musica";"Animarme a ensayar"
"TMHE_0009_CHOICE1";"Täglich oder fast jeden Tag";"Every day or nearly every day";"Täglich oder fast jeden Tag";"Ogni giorno o quasi ogni giorno";"Cada día o casi cada día"
"TMHE_0009_CHOICE2";"Einmal oder zweimal pro Woche";"Once or twice per week";"Einmal oder zweimal pro Woche";"Una o due volte a settimana";"Una o dos veces por semana"
"TMHE_0009_CHOICE3";"Einmal oder zweimal pro Monat";"Once or twice per month";"Einmal oder zweimal pro Monat";"Una o due volte al mese";"Una o dos veces al mes"
"TMHE_0009_CHOICE4";"Selten oder nie";"Never or hardly ever";"Selten oder nie";"Mai o quasi mai";"Nunca o casi nunca"
"TMHE_0009_PROMPT";"Helfen mir, mein Instrument zu üben";"Support me with practicing my instrument";"Helfen mir, mein Instrument zu üben";"Sostenermi quando mi esercito con il mio strumento";"Soportarme cuando practico mi instrumento"
"TMHE_0010_CHOICE1";"Hausaufgaben";"Homework";"Hausaufgaben";"Compiti";"Deberes"
"TMHE_0010_CHOICE2";"Fähigkeiten/technische Projekte (wie Videos machen/Computer/Programmieren)";"Skills / technology projects (such as video creation / computer / programming)";"Fähigkeiten/technische Projekte (wie Videos machen/Computer/Programmieren)";"Abilità/ progetti tecnologici (creazione di video, computer, programmazione)";"Proyectos de habilidades / tecnología (creación de videos / ordenador / programación)"
"TMHE_0010_CHOICE3";"Musik";"Music";"Musik";"Musica";"Música"
"TMHE_0010_CHOICE4";"Andere kreative Aktivitäten (Theater, Handwerken, Basteln etc.)";"Other performing creative arts (theatre,crafts, etc.)";"Andere kreative Aktivitäten (Theater, Handwerken, Basteln etc.)";"Altre attività artistiche (teatro, creazioni fatte a mano ecc.)";"Otras actividades artísticas (teatro, artesanía etc)"
"TMHE_0010_CHOICE5";"Sport";"Sports / physical education";"Sport";"Sport/ educazione fisica";"Deporte / educación física"
"TMHE_0010_CHOICE6";"Drinnen spielen";"Indoor play / free time";"Drinnen spielen";"Giochi al chiuso/tempo libero";"Juegos de interior / Tiempo libre"
"TMHE_0010_CHOICE7";"Eine Fremdsprache lernen";"Learning a language other than English";"Eine Fremdsprache lernen";"Imparare una lingua straniera";"Aprender otro idioma además del español"
"TMHE_0010_CHOICE8";"Fernsehen/Radio/Internet/Gaming";"Television / radio / internet / Gaming";"Fernsehen/Radio/Internet/Gaming";"TV/radio/internet/videogiochi";"Televisión/Radio/Internet/Videojuegos"
"TMHE_0010_PROMPT";"Womit verbringst du die meiste Zeit während der Ferien? Sortiere die folgenden Aktivitäten von 8 (am wenigsten Zeit) bis 1 (am meisten Zeit).";"What do you spend most of your time doing during holidays? Rank the following activities from 8 (least time spent on this activity) to 1 (most time spent on this activity).";"Womit verbringst du die meiste Zeit während der Ferien? Sortiere die folgenden Aktivitäten von 8 (am wenigsten Zeit) bis 1 (am meisten Zeit).";"In cosa hai impiegato la maggior parte del tuo tempo libero durante le vacanze? Classifica le seguenti attività a partire da 8 (meno tempo impiegato in questa attività) a 1 (più tempo impiegato in questa attività)";"En qué has empleado la mayor parte de tu tiempo libre durante las vacaciones? Clasifica las siguientes actividades a partir de 8 (menos tiempo empleado en esta actividad) hacia 1 (más tiempo empleado en esta actividad)."
