"key";"de";"de_f";"en";"it";"es";"lv"
"TDEG_0004_PROMPT";"Ich bin";"Welchem Geschlecht ordnen Sie sich zu?";"What is your gender?";"Qual è il tuo genere?";"¿Cuál es tú género?";"Kads ir tavs dzimums?"
"TDEG_0005_CHOICE1";"geboren";"geboren";"years";"Anni";"Años";"Gadi"
"TDEG_0005_PROMPT";"Ich bin";"Ich bin";"What is your age?";"Qual è la tua età?";"¿Cuál es tú edad?";"Kads ir tavs vecums?"
"TDEG_0006_PROMPT";"Was ist deine Nationalität/Staatsangehörigkeit? (In welchem Land hast du deinen Pass?)";"Was ist Ihre Nationalität/Staatsangehörigkeit? (In welchem Land haben Sie Ihren Pass?)";"What is your nationality?";"Qual è la tua nazionalità?";"¿Cuál es tú nacionalidad?";"Kada ir tava tautiba?"
"TDEG_0007_PROMPT";"In welchem Land hast du die meiste Zeit deines Lebens verbracht?";"In welchem Land haben Sie die meiste Zeit Ihres Lebens verbracht?";"In which country have you spent most years of your life?";"In quale nazione hai trascorso la maggior parte della tua vita?";"¿En qué país has pasado la mayor parte de tu vida?";"Kura valsti tu esi pavadijis savas dzives lielako dalu?"
"TDEG_0008_PROMPT";"Was ist deine Muttersprache? (Welche Sprache sprichst du zu Hause?)";"Was ist Ihre (erste) Muttersprache?";"What is your first language?";"Qual è la tua lingua madre?";"¿Cuál es tú lengua materna?";"Kada ir tava dzimta valoda?"
"TDEG_0009_PROMPT";"Sprichst du noch eine andere Sprache in deinem Alltag?";"Haben Sie noch eine zweite Muttersprache?";"What is your second language that is also spoken at home (if you have one)?";"Qual è la tua seconda lingua parlata anche in casa (se ce l’hai)?";"¿Cuál es tu segundo idioma que también se habla en casa (si hay)?";"Kada ir tava otra valoda, kura tu ari runa majas (ja tada ir)?"
"TDEG_0010_PROMPT";"In welchem Monat und Jahr wurdest du geboren?";"In welchem Monat und Jahr wurden Sie geboren?";"When were you born?";"Dove sei nato/a?";"¿Dónde naciste?";"Kad tu esi piedzimis?"
"TDEG_0011_CHOICE1";"rechtshändig";"rechtshändig";"right-handed";"Destrorso/a";"Diestro/a";"Labrocis"
"TDEG_0011_CHOICE2";"linkshändig";"linkshändig";"left-handed";"Mancino/a";"Zurdo/a";"Kreilis"
"TDEG_0011_CHOICE3";"beidhändig";"beidhändig";"ambidextrous (use both hands equally)";"Ambidestro/a (uso entrambe le mani allo stesso modo)";"Ambidiestro/a (uso ambas manos del mismo modo)";"Ambidekstrs jeb abrocis (vienlidz labi darbojies gan ar labo, gan ar kreiso roku)"
"TDEG_0011_PROMPT";"Bist Du eher ";"Sind Sie eher ";"Are you ";"Sei";"Eres";"Vai tu esi?"
"TDEG_0012_CHOICE1";"mit der rechten";"mit der rechten";"the right hand";"La mano destra";"La mano derecha";"Ar labo roku"
"TDEG_0012_CHOICE2";"mit der linken";"mit der linken";"the left hand";"La mano sinistra";"La mano izquierda";"Ar kreiso roku"
"TDEG_0012_CHOICE3";"mit beiden";"mit beiden";"both hands equally";"Entrambe le mani allo stesso modo";"Ambas manos del mismo modo";"Ar abam rokam vienadi"
"TDEG_0012_PROMPT";"Mit welcher Hand schreibst Du am besten?";"Mit welcher Hand schreiben Sie am besten?";"Which hand do you normally use for writing?";"Quale mano usi normalmente per scrivere?";"¿Qué mano usas normalmente para escribir?";"Ar kadu roku tu parasti raksti?"
"TDEG_0013_PROMPT";"In welchem Land wohnst du?";"In welchem Land wohne Sie?";"What is your country of residence?";"Qual è il suo paese di residenza?";"¿Cuál es su país de residencia?";NA
"TDEG_0014_CHOICE1";"Berufsausbildung, Fachoberschule";"Berufsausbildung, Fachhochschule, Fachoberschule";"Trade certificate, diploma, or apprenticeship";"Trade certificate, diploma, or apprenticeship";"Trade certificate, diploma, or apprenticeship";NA
"TDEG_0014_CHOICE2";"Abitur, Fachhochschuldiplom oder Bachelor";"Abitur, Fachhochschuldiplom oder Bachelor";"University bachelor degree (e.g., BS or BA with or without honours)";"University bachelor degree (e.g., BS or BA with or without honours)";"University bachelor degree (e.g., BS or BA with or without honours)";NA
"TDEG_0014_CHOICE3";"Weiterführender Hochschulabschluss (z.B., Diplom, MA, Dr.)";"Hochschulabschluss (MA, MS, Dr.)";"University postgraduate qualification (e.g., MA, MS, PhD)";"University postgraduate qualification (e.g., MA, MS, PhD)";"University postgraduate qualification (e.g., MA, MS, PhD)";NA
"TDEG_0014_CHOICE4";"Keiner der obigen";"Keiner der obigen";"None of the above";"None of the above";"None of the above";NA
"TDEG_0014_PROMPT";"Was ist dein höchster Bildungsabschluss?";"Was ist dein höchster Bildungsabschluss?";"What is the highest level of qualification that you have ever completed?";"What is the highest level of qualification that you have ever completed?";"What is the highest level of qualification that you have ever completed?";NA
"TDEG_0015_CHOICE1";"Ja";"Ja";"Yes";"Sì";"Sí";NA
"TDEG_0015_CHOICE2";"Nein";"Nein";"No";"No";"No";NA
"TDEG_0015_PROMPT";"Hast du derzeit eine bezahlte Arbeit?";"Haben Sie derzeit eine bezahlte Arbeit?";"Are you currently in paid employment?";"Are you currently in paid employment?";"Are you currently in paid employment?";NA
"TDEG_0016_CHOICE1";"Mit am schlechtesten";"Mit am schlechtesten";"Among the worst";"Among the worst";"Among the worst";NA
"TDEG_0016_CHOICE2";"Viel schlechter als durchschnittlich";"Viel schlechter als durchschnittlich";"Much worse than average";"Much worse than average";"Much worse than average";NA
"TDEG_0016_CHOICE3";"Schlechter als durchschnittlich";"Schlechter als der Durchschnitt";"Worse than average";"Worse than average";"Worse than average";NA
"TDEG_0016_CHOICE4";"Durchschnittlich";"Durchschnittlich";"Average";"Average";"Average";NA
"TDEG_0016_CHOICE5";"Besser als durchschnittlich";"Besser als durchschnittlich";"Better than average";"Better than average";"Better than average";NA
"TDEG_0016_CHOICE6";"Viel besser als durchschnittlich";"Viel besser als durchschnittlich";"Much better than average";"Much better than average";"Much better than average";NA
"TDEG_0016_CHOICE7";"Mit am besten";"Mit am besten";"Among the best";"Among the best";"Among the best";NA
"TDEG_0016_PROMPT";"Deiner Meinung nach, wie sind deine Lebensumstände im Vergleich zu anderen?";"Ihrer Meinung nach, wie gut sind Ihre Lebensumstände im Vergleich zu anderen?";"In your opinion, how good are your life circumstances compared to others?";"In your opinion, how good are your life circumstances compared to others?";"In your opinion, how good are your life circumstances compared to others?";NA
"TDEG_0017_CHOICE1";"Sicher nicht";"Sicher nicht";"Certainly not";"Certainly not";"Certainly not";NA
"TDEG_0017_CHOICE2";"Wahrscheinlich nicht";"Wahrscheinlich nicht";"Probably not";"Probably not";"Probably not";NA
"TDEG_0017_CHOICE3";"Wahrscheinlich ja";"Wahrscheinlich ja";"Probably yes";"Probably yes";"Probably yes";NA
"TDEG_0017_CHOICE4";"Sicher ja";"Sicher ja";"Certainly yes";"Certainly yes";"Certainly yes";NA
"TDEG_0017_PROMPT";"Könntest du 1.500 Euro auftreiben, falls im nächsten Monat eine unerwartete Ausgabe anstünde?";"Könntest du 1.500 Euro auftreiben, falls im nächsten Monat eine unerwartete Ausgabe anstünde?";"Could you come up with $2,000 AUD (1,800 SGD/ 1,400 USD) if an unexpected need arose within the next month?";"Could you come up with $2,000 AUD (1,800 SGD/ 1,400 USD) if an unexpected need arose within the next month?";"Could you come up with $2,000 AUD (1,800 SGD/ 1,400 USD)  if an unexpected need arose within the next month?";NA
"TDEG_0018_CHOICE1";"Professionell";"Professionell";"Professional";"Professional";"Professional";NA
"TDEG_0018_CHOICE2";"Semi-Professionell";"Semi-Professionell";"Semi-professional";"Semi-professional";"Semi-professional";NA
"TDEG_0018_CHOICE3";"Begeisteter Amateur";"Begeisteter Amateur";"Amateur";"Amateur";"Amateur";NA
"TDEG_0018_CHOICE4";"Gelegenheitsmusiker";"Gelegenheitsmusiker";"Occasional";"Occasional";"Occasional";NA
"TDEG_0018_CHOICE5";"Spiele kaum";"Spiele kaum";"Hardly ever play";"Hardly ever play";"Hardly ever play";NA
"TDEG_0018_CHOICE6";"Noch nie Musik gemacht";"Noch nie Musik gemacht";"Have never played";"Have never played";"Have never played";NA
"TDEG_0018_PROMPT";"Was ist den musikalisches Selbstverstädnis?";"Was ist Ihr musikalisches Selbstverstädnis?";"Please select your  level of music proficiency.";"Please select your level of music proficiency.";"Please select your level of music proficiency.";NA
